"Year Level","Qualification","Region","Academic Year","Typical Level Flag","Cumulative Year Attainment Rate - Excellence Endorsement","Current Year Attainment Rate - Excellence Endorsement","Cumulative Year Attainment Rate - Merit Endorsement","Current Year Attainment Rate - Merit Endorsement","Cumulative Year Attainment Rate - No Endorsement","Current Year Attainment Rate - No Endorsement","Cumulative Year Attainment - Excellence Endorsement","Current Year Attainment - Excellence Endorsement","Cumulative Year Attainment - Merit Endorsement","Current Year Attainment - Merit Endorsement","Cumulative Year Attainment - No Endorsement","Current Year Attainment - No Endorsement","Cumulative Year Attainment","Current Year Attainment","Total Student Count","Cohort Warning"
"11","NCEA Level 3","Waikato","2021","0","0.333","0.5","0.111","0","0.556","0.5","3","3","1","0","5","3","9","6","6352",""
"11","NCEA Level 3","Waikato","2022","0","0.231","0.231","0.154","0.154","0.615","0.615","3","3","2","2","8","8","13","13","6494",""
"11","NCEA Level 3","Waikato","2023","0","0.7","0.7","0.25","0.25","0.05","0.05","14","14","5","5","1","1","20","20","6954",""
"11","NCEA Level 3","Waikato","2024","0","0.636","0.615","0.152","0.115","0.212","0.269","21","16","5","3","7","7","33","26","7074",""
"11","NCEA Level 3","Wellington","2015","0","0.333","0.333","0","0","0.667","0.667","1","1","0","0","2","2","3","3","6216",""
"11","NCEA Level 3","Wellington","2016","0","0","0","0","0","1","1","0","0","0","0","2","2","2","2","6200",""
"11","NCEA Level 3","Wellington","2017","0","0","0","0","0","1","1","0","0","0","0","3","3","3","3","6126",""
"11","NCEA Level 3","Wellington","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6067",""
"11","NCEA Level 3","Wellington","2019","0","0.2","0.2","0","0","0.8","0.8","1","1","0","0","4","4","5","5","6274",""
"11","NCEA Level 3","Wellington","2020","0","0","0","0","0","1","1","0","0","0","0","6","3","6","3","6208",""
"11","NCEA Level 3","Wellington","2021","0","0.071","0","0.357","0.556","0.571","0.444","1","0","5","5","8","4","14","9","6236",""
"11","NCEA Level 3","Wellington","2022","0","0","0","0.333","0.333","0.667","0.667","0","0","1","1","2","2","3","3","6504",""
"11","NCEA Level 3","Wellington","2023","0","0","0","0","0","1","1","0","0","0","0","1","1","1","1","6633",""
"11","NCEA Level 3","Wellington","2024","0","0","0","0","0","1","1","0","0","0","0","3","3","3","3","6733",""
"11","NCEA Level 3","West Coast","2015","0","0","0","0","0","1","1","0","0","0","0","1","1","1","1","319",""
"11","NCEA Level 3","West Coast","2016","0","0","0","0","0","1","0","0","0","0","0","5","0","5","0","374",""
"11","NCEA Level 3","West Coast","2017","0","0","0","0","0","1","0","0","0","0","0","2","0","2","0","337",""
"11","NCEA Level 3","West Coast","2018","0","0","0","0","0","1","1","0","0","0","0","2","1","2","1","319",""
"11","NCEA Level 3","West Coast","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","299",""
"11","NCEA Level 3","West Coast","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","334",""
"11","NCEA Level 3","West Coast","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","356",""
"11","NCEA Level 3","West Coast","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","319",""
"11","NCEA Level 3","West Coast","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","364",""
"11","NCEA Level 3","West Coast","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","361",""
"11","University Entrance","Auckland","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","20374",""
"11","University Entrance","Auckland","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","20359",""
"11","University Entrance","Auckland","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","19628",""
"11","University Entrance","Auckland","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","19949",""
"11","University Entrance","Auckland","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","11","11","20162",""
"11","University Entrance","Auckland","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","20215",""
"11","University Entrance","Auckland","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","20526",""
"11","University Entrance","Auckland","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","8","8","21537",""
"11","University Entrance","Auckland","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","22920",""
"11","University Entrance","Auckland","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","23264",""
"11","University Entrance","Bay of Plenty","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","4089",""
"11","University Entrance","Bay of Plenty","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4053",""
"11","University Entrance","Bay of Plenty","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3990",""
"11","University Entrance","Bay of Plenty","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3929",""
"11","University Entrance","Bay of Plenty","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4033",""
"11","University Entrance","Bay of Plenty","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4152",""
"11","University Entrance","Bay of Plenty","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","4234",""
"11","University Entrance","Bay of Plenty","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4371",""
"11","University Entrance","Bay of Plenty","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4474",""
"11","University Entrance","Bay of Plenty","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","4552",""
"11","University Entrance","Canterbury","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","7123",""
"11","University Entrance","Canterbury","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","7099",""
"11","University Entrance","Canterbury","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","7170",""
"11","University Entrance","Canterbury","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7097",""
"11","University Entrance","Canterbury","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","7364",""
"11","University Entrance","Canterbury","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3","7305",""
"11","University Entrance","Canterbury","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","7299",""
"11","University Entrance","Canterbury","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","7827",""
"11","University Entrance","Canterbury","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","8239",""
"11","University Entrance","Canterbury","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8340",""
"11","University Entrance","Gisborne","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","639",""
"11","University Entrance","Gisborne","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","695",""
"11","University Entrance","Gisborne","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","711",""
"11","University Entrance","Gisborne","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","705",""
"11","University Entrance","Gisborne","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","676",""
"11","University Entrance","Gisborne","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","662",""
"11","University Entrance","Gisborne","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","712",""
"11","University Entrance","Gisborne","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","683",""
"11","University Entrance","Gisborne","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","705",""
"11","University Entrance","Gisborne","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","713",""
"11","University Entrance","Hawke's Bay","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2321",""
"11","University Entrance","Hawke's Bay","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2345",""
"11","University Entrance","Hawke's Bay","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2382",""
"11","University Entrance","Hawke's Bay","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2189",""
"11","University Entrance","Hawke's Bay","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2283",""
"11","University Entrance","Hawke's Bay","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2318",""
"11","University Entrance","Hawke's Bay","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2197",""
"11","University Entrance","Hawke's Bay","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2383",""
"11","University Entrance","Hawke's Bay","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2454",""
"11","University Entrance","Hawke's Bay","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2362",""
"11","University Entrance","Manawatu-Whanganui","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","3026",""
"11","University Entrance","Manawatu-Whanganui","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3134",""
"11","University Entrance","Manawatu-Whanganui","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3002",""
"11","University Entrance","Manawatu-Whanganui","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2924",""
"11","University Entrance","Manawatu-Whanganui","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3139",""
"11","University Entrance","Manawatu-Whanganui","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2954",""
"11","University Entrance","Manawatu-Whanganui","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3151",""
"11","University Entrance","Manawatu-Whanganui","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","3069",""
"11","University Entrance","Manawatu-Whanganui","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3406",""
"11","University Entrance","Manawatu-Whanganui","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3367",""
"11","University Entrance","Marlborough","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","496",""
"11","University Entrance","Marlborough","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","467",""
"11","University Entrance","Marlborough","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","440",""
"11","University Entrance","Marlborough","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","481",""
"11","University Entrance","Marlborough","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","505",""
"11","University Entrance","Marlborough","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","446",""
"11","University Entrance","Marlborough","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","520",""
"11","University Entrance","Marlborough","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","469",""
"11","University Entrance","Marlborough","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","534",""
"11","University Entrance","Marlborough","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","565",""
"11","University Entrance","Nelson","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","838",""
"11","University Entrance","Nelson","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","814",""
"11","University Entrance","Nelson","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","742",""
"11","University Entrance","Nelson","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","750",""
"11","University Entrance","Nelson","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","776",""
"11","University Entrance","Nelson","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","791",""
"11","University Entrance","Nelson","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","786",""
"11","University Entrance","Nelson","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","765",""
"11","University Entrance","Nelson","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","862",""
"11","University Entrance","Nelson","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","839",""
"11","University Entrance","Northland","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2307",""
"11","University Entrance","Northland","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2290",""
"11","University Entrance","Northland","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2122",""
"11","University Entrance","Northland","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2161",""
"11","University Entrance","Northland","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2187",""
"11","University Entrance","Northland","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2068",""
"11","University Entrance","Northland","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2214",""
"11","University Entrance","Northland","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2425",""
"11","University Entrance","Northland","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2364",""
"11","University Entrance","Northland","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2499",""
"11","University Entrance","Otago","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2433",""
"11","University Entrance","Otago","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2524",""
"11","University Entrance","Otago","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2411",""
"11","University Entrance","Otago","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2435",""
"11","University Entrance","Otago","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2447",""
"11","University Entrance","Otago","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2532",""
"11","University Entrance","Otago","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2463",""
"11","University Entrance","Otago","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2631",""
"11","University Entrance","Otago","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2731",""
"11","University Entrance","Otago","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2797",""
"11","University Entrance","Other","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1269",""
"11","University Entrance","Other","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","1263",""
"11","University Entrance","Other","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1091",""
"11","University Entrance","Other","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1223",""
"11","University Entrance","Other","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1531",""
"11","University Entrance","Other","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1531",""
"11","University Entrance","Other","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1806",""
"11","University Entrance","Other","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2218",""
"11","University Entrance","Other","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","2460",""
"11","University Entrance","Other","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2860",""
"11","University Entrance","Southland","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1229",""
"11","University Entrance","Southland","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1256",""
"11","University Entrance","Southland","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1227",""
"11","University Entrance","Southland","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1155",""
"11","University Entrance","Southland","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1248",""
"11","University Entrance","Southland","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1283",""
"11","University Entrance","Southland","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1268",""
"11","University Entrance","Southland","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1262",""
"11","University Entrance","Southland","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1335",""
"11","University Entrance","Southland","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1366",""
"11","University Entrance","Taranaki","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1579",""
"11","University Entrance","Taranaki","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1518",""
"11","University Entrance","Taranaki","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1499",""
"11","University Entrance","Taranaki","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1495",""
"11","University Entrance","Taranaki","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1455",""
"11","University Entrance","Taranaki","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1474",""
"11","University Entrance","Taranaki","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1572",""
"11","University Entrance","Taranaki","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1661",""
"11","University Entrance","Taranaki","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1706",""
"11","University Entrance","Taranaki","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1835",""
"11","University Entrance","Tasman","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","554",""
"11","University Entrance","Tasman","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","521",""
"11","University Entrance","Tasman","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","560",""
"11","University Entrance","Tasman","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","548",""
"11","University Entrance","Tasman","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","583",""
"11","University Entrance","Tasman","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","588",""
"11","University Entrance","Tasman","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","569",""
"11","University Entrance","Tasman","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","601",""
"11","University Entrance","Tasman","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","579",""
"11","University Entrance","Tasman","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","614",""
"11","University Entrance","Waikato","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5913",""
"11","University Entrance","Waikato","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6030",""
"11","University Entrance","Waikato","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5859",""
"11","University Entrance","Waikato","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5965",""
"11","University Entrance","Waikato","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6020",""
"11","University Entrance","Waikato","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6185",""
"11","University Entrance","Waikato","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","6352",""
"11","University Entrance","Waikato","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","6494",""
"11","University Entrance","Waikato","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6954",""
"11","University Entrance","Waikato","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7074",""
"11","University Entrance","Wellington","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","6216",""
"11","University Entrance","Wellington","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6200",""
"11","University Entrance","Wellington","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","6126",""
"11","University Entrance","Wellington","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6067",""
"11","University Entrance","Wellington","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","6274",""
"11","University Entrance","Wellington","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","6208",""
"11","University Entrance","Wellington","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","6236",""
"11","University Entrance","Wellington","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6504",""
"11","University Entrance","Wellington","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6633",""
"11","University Entrance","Wellington","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6733",""
"11","University Entrance","West Coast","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","319",""
"11","University Entrance","West Coast","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","374",""
"11","University Entrance","West Coast","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","337",""
"11","University Entrance","West Coast","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","319",""
"11","University Entrance","West Coast","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","299",""
"11","University Entrance","West Coast","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","334",""
"11","University Entrance","West Coast","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","356",""
"11","University Entrance","West Coast","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","319",""
"11","University Entrance","West Coast","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","364",""
"11","University Entrance","West Coast","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","361",""
"12","NCEA Level 1","Auckland","2015","0","0.184","0.021","0.317","0.126","0.499","0.854","2923","46","5028","282","7921","1912","15872","2240","18722",""
"12","NCEA Level 1","Auckland","2016","0","0.192","0.03","0.32","0.151","0.488","0.819","3179","67","5293","337","8073","1834","16545","2238","19335",""
"12","NCEA Level 1","Auckland","2017","0","0.197","0.005","0.307","0.083","0.496","0.912","3265","11","5085","182","8208","2005","16558","2198","19296",""
"12","NCEA Level 1","Auckland","2018","0","0.202","0.039","0.321","0.148","0.476","0.813","3230","80","5125","307","7599","1683","15954","2070","18508",""
"12","NCEA Level 1","Auckland","2019","0","0.214","0.045","0.331","0.195","0.455","0.76","3480","107","5370","466","7390","1812","16240","2385","18779",""
"12","NCEA Level 1","Auckland","2020","0","0.216","0.012","0.431","0.167","0.353","0.821","3551","30","7081","424","5810","2082","16442","2536","18909",""
"12","NCEA Level 1","Auckland","2021","0","0.203","0.005","0.276","0.122","0.521","0.873","3370","14","4584","327","8640","2350","16594","2691","19178",""
"12","NCEA Level 1","Auckland","2022","0","0.233","0.018","0.279","0.132","0.487","0.85","3794","55","4548","405","7932","2602","16274","3062","19373",""
"12","NCEA Level 1","Auckland","2023","0","0.208","0.13","0.301","0.269","0.491","0.602","3517","527","5081","1092","8291","2444","16889","4063","20453",""
"12","NCEA Level 1","Auckland","2024","0","0.182","0.135","0.312","0.271","0.506","0.595","3210","663","5507","1333","8946","2929","17663","4925","21814",""
"12","NCEA Level 1","Bay of Plenty","2015","0","0.142","0.013","0.302","0.071","0.556","0.916","452","5","965","28","1777","361","3194","394","3497",""
"12","NCEA Level 1","Bay of Plenty","2016","0","0.154","0.017","0.282","0.058","0.565","0.926","519","6","953","21","1909","336","3381","363","3624",""
"12","NCEA Level 1","Bay of Plenty","2017","0","0.176","0.007","0.287","0.06","0.537","0.933","584","2","953","18","1781","278","3318","298","3586",""
"12","NCEA Level 1","Bay of Plenty","2018","0","0.168","0.019","0.28","0.086","0.552","0.895","547","6","914","27","1800","282","3261","315","3539",""
"12","NCEA Level 1","Bay of Plenty","2019","0","0.187","0.024","0.291","0.128","0.521","0.848","588","7","914","37","1635","246","3137","290","3395",""
"12","NCEA Level 1","Bay of Plenty","2020","0","0.178","0.003","0.401","0.068","0.421","0.929","581","1","1310","22","1374","299","3265","322","3546",""
"12","NCEA Level 1","Bay of Plenty","2021","0","0.16","0","0.258","0.053","0.582","0.947","553","0","891","13","2009","234","3453","247","3731",""
"12","NCEA Level 1","Bay of Plenty","2022","0","0.154","0.01","0.26","0.107","0.586","0.883","503","2","848","21","1913","174","3264","197","3545",""
"12","NCEA Level 1","Bay of Plenty","2023","0","0.171","0.055","0.267","0.117","0.562","0.828","579","16","902","34","1897","241","3378","291","3691",""
"12","NCEA Level 1","Bay of Plenty","2024","0","0.141","0.022","0.265","0.125","0.594","0.853","498","6","933","34","2095","233","3526","273","3867",""
"12","NCEA Level 1","Canterbury","2015","0","0.18","0.036","0.337","0.083","0.483","0.881","1055","20","1979","46","2836","488","5870","554","6365",""
"12","NCEA Level 1","Canterbury","2016","0","0.184","0.02","0.327","0.101","0.489","0.879","1147","11","2039","56","3052","488","6238","555","6721",""
"12","NCEA Level 1","Canterbury","2017","0","0.203","0.002","0.331","0.079","0.466","0.919","1258","1","2053","41","2885","478","6196","520","6665",""
"12","NCEA Level 1","Canterbury","2018","0","0.206","0.028","0.325","0.11","0.468","0.862","1301","17","2050","67","2953","526","6304","610","6817",""
"12","NCEA Level 1","Canterbury","2019","0","0.202","0.038","0.343","0.125","0.455","0.837","1225","25","2083","82","2765","551","6073","658","6615",""
"12","NCEA Level 1","Canterbury","2020","0","0.21","0.005","0.432","0.109","0.358","0.886","1322","3","2715","71","2253","577","6290","651","6793",""
"12","NCEA Level 1","Canterbury","2021","0","0.209","0.07","0.294","0.135","0.497","0.796","1332","55","1870","106","3161","627","6363","788","6874",""
"12","NCEA Level 1","Canterbury","2022","0","0.184","0.012","0.303","0.115","0.513","0.873","1131","9","1860","86","3155","654","6146","749","6781",""
"12","NCEA Level 1","Canterbury","2023","0","0.185","0.127","0.296","0.205","0.519","0.668","1206","139","1926","224","3375","731","6507","1094","7243",""
"12","NCEA Level 1","Canterbury","2024","0","0.161","0.097","0.293","0.196","0.545","0.707","1070","123","1943","248","3616","895","6629","1266","7598",""
"12","NCEA Level 1","Gisborne","2015","0","0.113","0","0.223","0.023","0.664","0.977","61","0","121","2","360","85","542","87","607",""
"12","NCEA Level 1","Gisborne","2016","0","0.094","0","0.274","0.06","0.632","0.94","49","0","142","4","328","63","519","67","581",""
"12","NCEA Level 1","Gisborne","2017","0","0.122","0","0.219","0.016","0.659","0.984","66","0","119","1","358","60","543","61","616",""
"12","NCEA Level 1","Gisborne","2018","0","0.088","0","0.223","0.076","0.69","0.924","46","0","117","5","362","61","525","66","584",""
"12","NCEA Level 1","Gisborne","2019","0","0.091","0.027","0.234","0.068","0.675","0.905","46","2","118","5","340","67","504","74","567",""
"12","NCEA Level 1","Gisborne","2020","0","0.085","0.01","0.375","0.111","0.54","0.879","42","1","186","11","268","87","496","99","570",""
"12","NCEA Level 1","Gisborne","2021","0","0.098","0","0.255","0.06","0.647","0.94","48","0","125","3","317","47","490","50","567",""
"12","NCEA Level 1","Gisborne","2022","0","0.077","0.012","0.236","0.06","0.687","0.929","39","1","120","5","349","78","508","84","599",""
"12","NCEA Level 1","Gisborne","2023","0","0.079","0.015","0.238","0.03","0.683","0.955","38","1","115","2","330","64","483","67","583",""
"12","NCEA Level 1","Gisborne","2024","0","0.088","0","0.232","0.027","0.68","0.973","43","0","113","2","331","73","487","75","590",""
"12","NCEA Level 1","Hawke's Bay","2015","0","0.147","0.018","0.281","0.024","0.572","0.958","285","3","544","4","1110","159","1939","166","2068",""
"12","NCEA Level 1","Hawke's Bay","2016","0","0.144","0","0.284","0.075","0.572","0.925","288","0","568","11","1143","135","1999","146","2139",""
"12","NCEA Level 1","Hawke's Bay","2017","0","0.175","0","0.295","0.042","0.53","0.958","352","0","594","6","1065","136","2011","142","2147",""
"12","NCEA Level 1","Hawke's Bay","2018","0","0.166","0.021","0.313","0.071","0.521","0.907","334","3","629","10","1048","127","2011","140","2140",""
"12","NCEA Level 1","Hawke's Bay","2019","0","0.178","0.013","0.309","0.046","0.513","0.94","319","2","552","7","917","142","1788","151","1921",""
"12","NCEA Level 1","Hawke's Bay","2020","0","0.181","0.006","0.421","0.094","0.398","0.9","342","1","794","15","751","144","1887","160","2034",""
"12","NCEA Level 1","Hawke's Bay","2021","0","0.18","0","0.273","0.076","0.547","0.924","350","0","530","12","1063","145","1943","157","2099",""
